NUMERO,DT_EMISSAO,CODCLI,NOME,DESC_MARCA,DESC_LINHA,DESC_COLECAO,DESC_GRUPO,DESC_COORDENADO,PROD,DESC_PROD,COD_EST,NOME_CID,NOME_REP,QTDE,VALOR_LIQ,CUSTO_IND
77132,19/01/2026,14643,NAHE CALCADOS E CONFECCOES LTDA,KIKI,PRIMEIROS PASSOS,INVERNO 2026,CONJ. BLUSA/SHORTS,BOSQUE DOS SONHOS,K2500007,CONJ. BLUSA/SHORTS,SC,IBIRAMA,RPN REPRESENTAÇÕES LTDA - ME,4,"346,56","31,3196"
77133,19/01/2026,10710,AMORIELOS CALCADOS E CONFECCOES LTDA,MENINA ANJO,TEEN,INVERNO 2026,CONJ. BLUSA/SHORTS,RELICÁRIO DO AMOR,M4500003,CONJ. BLUSA/SHORTS,SC,PRESIDENTE GETULIO,RPN REPRESENTAÇÕES LTDA - ME,4,"338,88","30,8848"
77133,19/01/2026,10710,AMORIELOS CALCADOS E CONFECCOES LTDA,MENINA ANJO,TEEN,INVERNO 2026,BLUSAO,GLAM INV.26,M4650015,BLUSAO,SC,PRESIDENTE GETULIO,RPN REPRESENTAÇÕES LTDA - ME,4,"352,64","31,6282"
77133,19/01/2026,10710,AMORIELOS CALCADOS E CONFECCOES LTDA,KIKI,INFANTIL,INVERNO 2026,CALCA WIDE LEG,GRACIOSIDADE,K3700011,CALCA WIDE LEG,SC,PRESIDENTE GETULIO,RPN REPRESENTAÇÕES LTDA - ME,4,"233,28","23,8926"
77133,19/01/2026,10710,AMORIELOS CALCADOS E CONFECCOES LTDA,KIKI,BEBE,INVERNO 2026,CONJ. BODY/CALCA,BRINCO DE PRINCESA,K1600001,CONJ. BODY/CALCA,SC,PRESIDENTE GETULIO,RPN REPRESENTAÇÕES LTDA - ME,3,"208,8","28,8086"
77133,19/01/2026,10710,AMORIELOS CALCADOS E CONFECCOES LTDA,MENINA ANJO,TEEN,INVERNO 2026,CONJ. BLUSA/CALCA WIDE LEG,ETERNO AMOR,M4600003,CONJ. BLUSA/CALCA WIDE LEG,SC,PRESIDENTE GETULIO,RPN REPRESENTAÇÕES LTDA - ME,4,"456,64","46,5823"
77133,19/01/2026,10710,AMORIELOS CALCADOS E CONFECCOES LTDA,KIKI,PRIMEIROS PASSOS,INVERNO 2026,VESTIDO/CASACO,GRACIOSIDADE,K2150001,VESTIDO/CASACO,SC,PRESIDENTE GETULIO,RPN REPRESENTAÇÕES LTDA - ME,4,"454,08","46,1814"
77133,19/01/2026,10710,AMORIELOS CALCADOS E CONFECCOES LTDA,KIKI,PRIMEIROS PASSOS,INVERNO 2026,VESTIDO,SEGREDO,K2100013,VESTIDO,SC,PRESIDENTE GETULIO,RPN REPRESENTAÇÕES LTDA - ME,4,"337,28","32,7526"
77133,19/01/2026,10710,AMORIELOS CALCADOS E CONFECCOES LTDA,MENINA ANJO,TEEN,INVERNO 2026,CONJ. BLUSA/SHORTS SAIA,NOSTALGIA,M4450009,CONJ. BLUSA/SHORTS SAIA,SC,PRESIDENTE GETULIO,RPN REPRESENTAÇÕES LTDA - ME,4,"368,64","37,6565"
77133,19/01/2026,10710,AMORIELOS CALCADOS E CONFECCOES LTDA,KIKI,BEBE,INVERNO 2026,VESTIDO,BRINCO DE PRINCESA,K1100002,VESTIDO,SC,PRESIDENTE GETULIO,RPN REPRESENTAÇÕES LTDA - ME,3,"156,48","21,2855"
77133,19/01/2026,10710,AMORIELOS CALCADOS E CONFECCOES LTDA,KIKI,PRIMEIROS PASSOS,INVERNO 2026,VESTIDO,FLORES RADIANTES,K2100004,VESTIDO,SC,PRESIDENTE GETULIO,RPN REPRESENTAÇÕES LTDA - ME,4,"332,16","29,9913"
77133,19/01/2026,10710,AMORIELOS CALCADOS E CONFECCOES LTDA,KIKI,BEBE,INVERNO 2026,VESTIDO/CASACO,MAGIA DAS FLORES,K1150001,VESTIDO/CASACO,SC,PRESIDENTE GETULIO,RPN REPRESENTAÇÕES LTDA - ME,3,"250,56","34,5513"
77133,19/01/2026,10710,AMORIELOS CALCADOS E CONFECCOES LTDA,KIKI,PRIMEIROS PASSOS,INVERNO 2026,VESTIDO,CEREJEIRA,K2100012,VESTIDO,SC,PRESIDENTE GETULIO,RPN REPRESENTAÇÕES LTDA - ME,4,"378,56","35,775"
77133,19/01/2026,10710,AMORIELOS CALCADOS E CONFECCOES LTDA,KIKI,PRIMEIROS PASSOS,INVERNO 2026,CONJ. BLUSA/SHORTS,CEREJEIRA,K2500010,CONJ. BLUSA/SHORTS,SC,PRESIDENTE GETULIO,RPN REPRESENTAÇÕES LTDA - ME,4,"377,28","38,5326"
77133,19/01/2026,10710,AMORIELOS CALCADOS E CONFECCOES LTDA,KIKI,PRIMEIROS PASSOS,INVERNO 2026,CONJ. CASACO/CALCA,SEGREDO,K2600008,CONJ. CASACO/CALCA,SC,PRESIDENTE GETULIO,RPN REPRESENTAÇÕES LTDA - ME,4,"391,04","40,0409"
77133,19/01/2026,10710,AMORIELOS CALCADOS E CONFECCOES LTDA,KIKI,INFANTIL,INVERNO 2026,CONJ. CASACO/CALCA,SEGREDO,K3600009,CONJ. CASACO/CALCA,SC,PRESIDENTE GETULIO,RPN REPRESENTAÇÕES LTDA - ME,4,"487,68","49,8066"
77133,19/01/2026,10710,AMORIELOS CALCADOS E CONFECCOES LTDA,MENINA ANJO,TEEN,INVERNO 2026,CALCA WIDE LEG,ANIMAL PRINT,M4700004,CALCA WIDE LEG,SC,PRESIDENTE GETULIO,RPN REPRESENTAÇÕES LTDA - ME,4,"276,8","28,2116"
77133,19/01/2026,10710,AMORIELOS CALCADOS E CONFECCOES LTDA,VALENT,PRIMEIROS PASSOS,INVERNO 2026,JAQUETA,IMAGINE MORE,V2650028,JAQUETA,SC,PRESIDENTE GETULIO,RPN REPRESENTAÇÕES LTDA - ME,4,"389,76","60,2579"
77133,19/01/2026,10710,AMORIELOS CALCADOS E CONFECCOES LTDA,KIKI,PRIMEIROS PASSOS,INVERNO 2026,JAQUETA,GRACIOSIDADE,K2650011,JAQUETA,SC,PRESIDENTE GETULIO,RPN REPRESENTAÇÕES LTDA - ME,4,"389,76","60,2882"
77133,19/01/2026,10710,AMORIELOS CALCADOS E CONFECCOES LTDA,MENINA ANJO,TEEN,INVERNO 2026,CONJ. BLUSA/SHORTS SAIA,GLAM INV.26,M4450001,CONJ. BLUSA/SHORTS SAIA,SC,PRESIDENTE GETULIO,RPN REPRESENTAÇÕES LTDA - ME,4,"404,8","36,5432"
77133,19/01/2026,10710,AMORIELOS CALCADOS E CONFECCOES LTDA,KIKI,PRIMEIROS PASSOS,INVERNO 2026,SALOPETE/BLUSA,MIMO,K2200001,SALOPETE/BLUSA,SC,PRESIDENTE GETULIO,RPN REPRESENTAÇÕES LTDA - ME,4,"354,56","36,2286"
77133,19/01/2026,10710,AMORIELOS CALCADOS E CONFECCOES LTDA,KIKI,INFANTIL,INVERNO 2026,BLUSA,MAGIA DAS FLORES,K3650012,BLUSA,SC,PRESIDENTE GETULIO,RPN REPRESENTAÇÕES LTDA - ME,8,"354,56","17,7217"
77133,19/01/2026,10710,AMORIELOS CALCADOS E CONFECCOES LTDA,KIKI,PRIMEIROS PASSOS,INVERNO 2026,BLUSA,MAGIA DAS FLORES,K2650010,BLUSA,SC,PRESIDENTE GETULIO,RPN REPRESENTAÇÕES LTDA - ME,8,"252,8","11,4915"
77133,19/01/2026,10710,AMORIELOS CALCADOS E CONFECCOES LTDA,KIKI,INFANTIL,INVERNO 2026,CONJ. BLUSA/SHORTS,BOTÂNIC,K3500002,CONJ. BLUSA/SHORTS,SC,PRESIDENTE GETULIO,RPN REPRESENTAÇÕES LTDA - ME,4,"364,48","37,554"
77133,19/01/2026,10710,AMORIELOS CALCADOS E CONFECCOES LTDA,VALENT,INFANTIL,INVERNO 2026,JAQUETA,IMAGINE MORE,V3650010,JAQUETA,SC,PRESIDENTE GETULIO,RPN REPRESENTAÇÕES LTDA - ME,4,"457,28","60,2579"
77133,19/01/2026,10710,AMORIELOS CALCADOS E CONFECCOES LTDA,KIKI,INFANTIL,INVERNO 2026,JAQUETA,GRACIOSIDADE,K3650014,JAQUETA,SC,PRESIDENTE GETULIO,RPN REPRESENTAÇÕES LTDA - ME,4,"457,28","60,2882"
